link-to-project-upload-info,You are also able to link images with project manually after upload is done.,Vous aurez la possibilité d'associer manuellement les images à des projets lorsque l'upload sera terminé.,También puede vincular imágenes con el proyecto manualmente después de cargarlas.,U hebt de mogelijkheid om de afbeeldingen handmatig aan projecten te koppelen wanneer het uploaden is voltooid.,アップロード完了後、手動で画像をプロジェクトにリンクすることもできます。
link-view-with,Link this view with...,Synchroniser cette image avec...,Vincula esta vista con ...,Synchroniseer deze afbeelding met...,このビューを次とリンク...
link-with-project,Link with project,Associer à un projet,Enlazar con proyecto,Met een project koppelen,プロジェクトとリンク
link-x-y-resolution,Link resolution along X and Y axes,Lier la résolution selon les axes X et Y,,De resolutie langs de X- en Y-as koppelen,XおよびY軸の解像度をリンク
linked-annotations,Linked annotations,Annotations liées,Anotaciones vinculadas,Gekoppelde annotaties,リンク済みアノテーション
list,List,Liste,Lista,Lijst,リスト
listdomain,List of Cytomine domains,Liste de domaines Cytomine,Lista de dominios de Cytomine,Lijst met cytominedomeinen,Cytomineドメイン一覧
live,Live,Live,En Vivo,Live,ライブ
log-being-collected,Execution log is being collected,Le log d'exécution est en train d'être collecté,Se está recopilando el registro de ejecución.,Het uitvoeringslogboek wordt verzameld,実行ログを収集中です。
logarithmic,Logarithmic,Logarithmic,,Logaritmisch,対数
logout,Logout,Se déconnecter,Cerrar sesión,Afmelden,ログアウト
logs,Logs,Journaux,Registros,Logs,ログ
magic-wand,Magic Wand,Baguette magique,Varita mágica,Toverstok,マジックワンド
magnification,Magnification,Grossissement,Aumento,Vergroting,倍率
managed-projects,Managed projects,Projets supervisés,Proyectos administrados,Begeleide projecten,管理プロジェクト
manager-icon-label,You are a manager of this project,Vous êtes un responsable du projet,Usted es asministrador de este proyecto,U bent projectleider,あなたはこのプロジェクトのマネージャーです。
manager,Manager,Responsable,Administrador,Manager,マネージャー
managers,Managers,Responsables,administradores,Beheerders,マネージャー一覧
mandatory,Mandatory,Obligatoire,Obligatorio,Verplicht,必須
manual-annotations-info-message,Annotations created by a user,Annotations créées par un utilisateur,Anotaciones creadas por un usuario.,Annotaties gemaakt door de user,ユーザーが作成したアノテーション
manual,Manual,Manuelle,Manual,Manueel,手動
manual-annotations-vs-contributor,Manual annotations VS. contributor,Annotations manuelles VS. contributeur,Anotaciones manuales por colaborador,Manuele annotaties VS. bijdrager,手動アノテーション VS. 投稿者
manual-annotations-vs-term,Manual annotations VS. term,Annotations manuelles VS. terme,Anotaciones manuales por término,Manuele annotaties VS. term,手動アノテーション VS. 用語
max-size-upload-info,The maximum file size (per file) for uploads is 100 GB,La taille maximale par fichier est de 100 GB,,De maximale grootte per bestand is 100 GB,アップロードの最大ファイルサイズ（1ファイルあたり）は100 GBです。
maximum,Maximum,Maximum,Máximo,Maximaal,最大
medium,Medium,Moyen,Mediana,Medium,中
members-activity,Members activity,Activité des membres,Actividad de miembros,Leden activiteit,メンバーのアクティビティ
members,Members,Membres,Miembros,Leden,メンバー
merged-channels,Merged channels,Canaux fusionnés,,Samengevoegde kanalen,マージ済みチャンネル
min-max,Min/Max,Min/Max,,Min/Max,最小/最大
minimum,Minimum,Minimum,Mínimo,Minimum,最小
mm-per-pixel,mm/pixel,mm/pixel,mm/píxel,mm/pixel,mm/ピクセル
mm,mm,mm,mm,mm,mm
mm-per-slice,mm/slice,mm/plan,,mm/vlak,mm/スライス
modify,Modify,Modifier,Modificar,Bewerken,変更
most-active-project,Most active project,Projet le plus actif,Proyecto más activo,Meest actieve project,最もアクティブなプロジェクト
move,Move,Déplacer,Mover,Verplaatsen,移動
multiple-terms,Multiple terms,Plusieurs termes,Múltiples términos,Meerdere termen,複数の用語
multiple-tracks,Multiple tracks,Traces multiples,,Meerdere tracks,複数のトラック
my-role,My role,Mon rôle,Mi rol,Mijn rol,自分のロール
name,Name,Nom,Nombre,Naam,名前
nb-jobs,Number of jobs,Nombre d'exécutions,Número de trabajos,Aantal executies,ジョブ数
new-name,New name,Nouveau nom,Nuevo nombre,Nieuwe naam,新しい名前
nb-success-jobs,Number of successful jobs,Nombre d'exécutions réussies,Número de trabajos exitosos,Aantal succesvolle executies,成功したジョブ数
new-ontology,New ontology,Nouvelle ontologie,Nueva ontología,Nieuwe ontologie,新しいオントロジー
new-project,New project,Nouveau projet,Nuevo proyecto,Nieuw project,新しいプロジェクト
new-project-with-filtered-images,New project with filtered images,Nouveau projet avec des images filtrées,Nuevo proyecto con imágenes filtradas,Nieuw project met gefilterde afbeeldingen,フィルタリングされた画像で新しいプロジェクト
nm-per-pixel,nm/pixel,nm/pixel,nm/píxel,nm/pixel,nm/ピクセル
nm-per-slice,nm/slice,nm/plan,,nm/kaart,nm/スライス
no-account-yet,Don't have an account yet ? {registerLink},Pas encore de compte ? {registerLink},¿Aún no tiene una cuenta? {registerLink},Nog geen account? {registerLink},アカウントをお持ちでない方は？ {registerLink}
no,No,Non,No,Neen,いいえ
no-annotation-comments,No comment for this annotation so far,Aucun commentaire pour cette annotation,No hay comentarios para esta anotación hasta ahora,Geen opmerkingen voor deze annotatie,このアノテーションにはまだコメントがありません。
no-annotation,No annotation,Aucune annotation,Sin anotaciones,Geen annotatie,アノテーションなし
no-app-store-registered,No app store are registered, Aucun magasin d’applications n’est enregistré, No hay tiendas de aplicaciones registradas, Er zijn geen app-winkels geregistreerd,登録されているアプリストアはありません。
no-attached-file,No attached file,Aucun fichier joint,Ningún archivo adjunto,Geen file bijgevoegd,添付ファイルなし
no-default-property,No default property,Pas de propriété par défaut,Sin propiedad predeterminada,Geen defaulteigenschap,デフォルトのプロパティなし
no-description,No description,Pas de description,Sin descripción,Geen beschrijving,説明なし
no-file,No file,Aucun fichier,Ningún archivo,Geen file,ファイルなし
no-image-consultation,No image consultation,Aucune consultation d'image,Ninguna consulta de imagen,Geen online afbeeldingconsult,画像の参照なし
no-image,No image to display,Aucune image à afficher,No hay imágenes que mostrar,Geen afbeelding om weer te geven,表示する画像がありません。
no-image-filter,No image filter to display,Aucun filtre à afficher,No hay filtro de imagen que mostrar,Geen filters om weer te geven,表示する画像フィルターがありません。
no-image-group,No image group,Aucun groupe d'images,Ningún grupo de imágenes,Geen beeldgroep,画像グループなし
no-image-recently-opened,No image recently opened,Aucune image consultée récemment,Ninguna imagen abierta recientemente,Geen recent bekeken afbeeldingen,最近開いた画像はありません。
no-info,No information,Pas d'information,Sin información,Geen informatie,情報なし
no-key-selected,No key selected,Aucune clé choisie,Ninguna clave seleccionada,Geen sleutel gekozen,キーが選択されていません。
no-linked-annotation,No linked annotation,Aucune annotation liée,Sin anotación vinculada,Geen gekoppelde annotatie,リンク済みアノテーションなし
no-log-to-display,No log to display,Aucun log disponible,No hay registro para mostrar,Geen logboek beschikbaar,表示するログがありません。
no-member-fitting-criteria,No member fitting criteria,Aucun membre ne remplissant les critères de recherche,No hay criterios de ajuste para miembros,Geen enkel lid voldoet aan de zoekcriteria,条件に合うメンバーがいません。
no-ontology,No ontology,Pas d'ontologie,Sin ontología,Geen ontologie,オントロジーなし
no-outline,No outline,Pas de contour,Sin contorno,Geen outline,アウトラインなし
no-password,No password,Pas de mot de passe,Sin contraseña,Geen wachtwoord,パスワードなし
no-preview-available,No preview available,Pas d'aperçu disponible,No hay vista previa disponible,Geen preview beschikbaar,プレビューを利用できません。
no-profile,No profile,Pas de profil,,Geen profiel,プロフィールなし
no-project-connection,No project connection,Aucune connexion au projet,Ninguna conexión del proyecto,Geen projectverbinding,プロジェクト接続なし
no-project,No project to display,Aucun projet à afficher,No hay proyectos que mostrar,Geen projecten om weer te geven,表示するプロジェクトがありません。
no-properties,No property,Aucune propriété,Ninguna propiedad,Geen eigenschappen,プロパティなし
no-property-matching-search-string,No existing property matching {searchString},Aucune propriété ne correspond au texte recherché,Ninguna propiedad existente coincide con {searchString},Er komen geen eigenschappen overeen met de gezochte tekst,{searchString} に一致するプロパティはありません
no-recent-image,No image recently opened,Aucune image consultée récemment,No hay imagen abierta recientemente,Geen recent bekeken afbeeldingen,最近開いた画像はありません
no-recent-project,No project recently opened,Aucun projet consulté récemment,Ningún proyecto abierto recientemente,Geen recent bekeken projecten,最近開いたプロジェクトはありません
no-record,No record,Aucune entrée,Sin registros,Geen toegang,レコードなし
no-result-file,No result file,Aucun fichier de résultat,Sin archivo de resultados,Geen resultatenfile,結果ファイルなし
